row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{1,2,5,6}",,-0.1631961316;1.725418091;0.5106437206;-1.06415236;0.7320890427;-0.1969432533;-1.407050848;1.331264496;-0.1890719086,6.791962624,6.7492583,7.334172503,1
SUBSET_WITNESS,,"{1,3,4,5}",,-0.4496436119;1.346441865;0.4937559962;-1.073117018;-0.08486426622;0.4138855636;-0.6571369171;-1.087539911;0.08442337811,4.297920704,4.317834496,5.351087515,1
SUBSET_WITNESS,,"{1,3,4,6}",,0.08931501955;1.751676917;0.4986436665;-1.082744598;-0.08893448114;0.2639476955;-0.9231233001;-1.325823903;0.1819632053,4.157181263,3.96597658,4.518253979,1
SUBSET_WITNESS,,"{1,3,5,6}",,-0.2976739109;1.760689735;0.6945277452;-0.3937063217;-0.05579412356;0.06242429838;-0.4972983301;-0.9123017192;-0.06063850597,6.257714272,5.948322839,6.828846736,1
SUBSET_WITNESS,,"{1,4,5,6}",,0.2134917974;1.134644389;0.4701219797;-1.363090873;0.1562086791;0.8133829832;-0.9648731351;-1.365880251;0.2906245589,4.089614868,3.738032795,5.00032074,1
SUBSET_WITNESS,,"{2,3,4,5}",,0.08766317368;0.6387602091;0.4661743045;-0.5706343055;-0.01625062712;0.4595955908;1.309964418;-1.480060697;-0.631646812,3.493196249,2.881727427,4.549563433,1
SUBSET_WITNESS,,"{2,3,4,6}",,0.7821237445;1.337898612;0.9559780359;0.181263715;-0.5326865911;-0.3828889132;-0.1637514085;0.4571304619;-0.9149127007,4.328420639,4.401322303,5.493686574,1
SUBSET_WITNESS,,"{2,3,5,6}",,0.2494176626;1.376602054;0.3739886582;-0.3032380641;-0.8994808197;0.4758260548;-0.4850084484;0.7880147099;-0.002056142082,4.656398773,4.612985206,5.151740655,1
SUBSET_WITNESS,,"{2,4,5,6}",,0.698731482;1.377085447;0.1725934297;-1.230375528;0.5112761259;-0.1444713473;0.9967941046;-1.020047903;-0.6488859653,4.05436039,3.910657514,4.622332503,1
SUBSET_WITNESS,,"{3,4,5,6}",,0.5943184495;-0.2253493071;0.4073491693;-0.02044607326;-1.154128194;0.4889863729;-0.3322196007;-1.178485274;-0.4603344202,3.946771145,4.090486092,4.849782492,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.1712604314;1.501599193;1.615742445;-0.3133164942;-0.7582140565;0.1921880543;-1.096320748;0.3937470615;-0.1603314877,5.483905315,5.464881058,5.826157773,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.1182874888;1.227179408;1.129307866;-0.9844056368;0.1611870676;0.2857925594;-0.1937287003;1.296527267;0.1514665037,4.769340038,4.387891713,5.813073128,1
SUBSET_WITNESS,,"{0,1,2,3,6}",,0.03889266402;1.27007401;1.564350843;1.164909482;-0.7303250432;0.4547498524;-0.2414013594;0.607611835;0.148214221,5.074709415,4.818184835,6.080287362,1
