row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,2,5}",,0.5916317105;0.9103736877;-1.928448558;-0.320807755;-0.7264397144;-0.5556176305;1.21130693,4.942297459,4.756106203,6.063325736,1
SUBSET_WITNESS,,"{0,2,6}",,0.9487964511;0.7694661617;0.3055346012;-1.392055869;-0.5778185725;-0.6343912482;0.6824854016,3.873493433,3.755766034,5.12371336,1
SUBSET_WITNESS,,"{0,3,4}",,0.4046401381;1.471056461;-0.4891452789;0.7121248245;-0.3484733403;-0.03082943708;1.411488056,4.14094162,3.424510285,4.939840811,1
SUBSET_WITNESS,,"{0,3,5}",,-0.2504359782;1.35598886;-1.165277362;-0.1125540137;-0.256112963;1.053591609;1.435474634,4.7914958,4.486275877,7.432303366,1
SUBSET_WITNESS,,"{0,3,6}",,0.4735671878;1.363543391;-0.5000216365;-0.2225153148;-0.09749796987;0.02621669136;0.698366344,2.980196953,2.789466097,4.705674673,1
SUBSET_WITNESS,,"{0,4,5}",,0.7533707023;-0.2244400233;-1.108966351;0.2033936083;1.152087927;0.4705449939;2.043157101,4.802976608,4.670272163,7.695102902,1
SUBSET_WITNESS,,"{0,4,6}",,1.028298736;-0.3483245671;0.3933103383;0.2120425105;-0.5479345322;-0.6474605203;1.292263627,4.122936726,3.639248388,4.368051766,1
SUBSET_WITNESS,,"{0,5,6}",,0.4300680161;0.2012653649;-0.1370532364;-1.089211583;-0.2989758551;1.043681741;1.202176213,5.240768433,5.182741061,5.745833882,1
SUBSET_WITNESS,,"{1,2,3}",,-0.1038375646;1.227037907;-1.09869504;-0.1488854438;-0.2135991156;0.7293602824;-1.06574297,3.126719952,2.875490405,3.943229081,1
SUBSET_WITNESS,,"{1,2,4}",,0.6445218325;-0.4761703014;-0.5718404651;-0.7406949997;1.51072824;-1.555696249;1.086971164,7.527366161,7.47191038,7.629548572,1
