row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,1,3,4}",,0.6969546676;3.556612968;-2.502104044;1.191958785;3.243546247,25.42223167,25.11198337,25.7479976,1
SUBSET_WITNESS,,"{0,1,3,5}",,1.121890426;-0.01079792529;0.09107302874;-2.245764732;2.519281864,13.74480343,13.52766291,14.01467605,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.2621985674;-0.7029904723;-1.402822971;3.334290504;-0.8038870096,12.59877777,12.26556247,12.90862182,1
SUBSET_WITNESS,,"{0,2,3,4}",,-0.1194500849;-0.5948511362;-2.323312283;1.726791143;0.1459029019,7.197301865,7.19125292,7.396610732,1
SUBSET_WITNESS,,"{0,2,3,5}",,0.3352803588;-1.108860731;-2.30356741;-0.2589825988;1.025812745,2.613560915,1.891576233,7.782522007,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.2240367681;-0.9114845991;-0.7930738926;-0.489433825;-0.1225283369,4.67438221,4.198175861,7.690840885,1
SUBSET_WITNESS,,"{0,3,4,5}",,0.3774781525;-0.5185368657;-0.7357243299;-4.171768665;2.452332973,23.00831795,22.77874682,23.60250075,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.6734936237;0.09413635731;0.2301237434;4.22551012;-1.453942776,20.36858368,20.30830748,20.50270781,1
SUBSET_WITNESS,,"{1,2,3,5}",,3.935492516;-3.999170065;-1.393459916;0.5343628526;1.607368827,30.71277237,30.42011759,30.84394062,1
SUBSET_WITNESS,,"{1,2,4,5}",,0.3493011296;-2.974070311;2.926029921;-0.6744245291;-0.9351504445,18.2607975,17.99144804,18.65158765,1
SUBSET_WITNESS,,"{1,3,4,5}",,-0.03422149271;-1.883372903;-0.3930315375;5.309537411;-2.529001236,32.66882324,32.46234842,32.72673803,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.5095707178;-1.369882822;0.7596681118;-0.7983834147;0.8939037919,4.391303062,3.440185906,4.516839291,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.7039006352;0.2556336522;-0.07212291658;0.1520858407;1.499027014,9.990828514,9.878551804,10.45016858,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,0.9027254581;-0.3872954249;-1.083546042;-0.2698810697;1.101076484,6.391694546,5.687972985,7.306830006,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,0.7332966328;-0.7294943929;-0.3634066582;-0.3589533269;0.3973468542,6.707638741,6.481741637,7.42850744,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,0.8980964422;0.2644429207;0.263338834;-3.530675173;2.483648777,22.0618248,21.79299116,22.40836168,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,0.1214945689;-1.366842747;-0.3038857579;-0.2396407723;0.3918977976,5.332088947,4.780741299,11.26535711,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,0.1176528111;-2.61511302;3.816127539;-1.75655508;0.4976951182,22.58018303,22.55449227,22.75834771,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,0.7963344455;-0.4103499353;-0.9858216643;-0.1219113991;0.9677702785,6.89420557,,,1
