row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,1,3,4}",,-0.5523213148;0.0472985059;1.170274496;0.4400990307;-1.882259488;0.2214642912,6.444851398,6.295179661,7.408910528,1
SUBSET_WITNESS,,"{0,1,3,5}",,0.2941285074;3.978447914;-0.3342787921;0.8952636123;-1.560570002;0.2790944278,13.98458385,13.87300111,14.40635016,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.05786599591;0.9940423369;0.8393163085;0.2013639361;-0.6753231883;1.147015214,4.634476185,4.606821099,8.358194343,1
SUBSET_WITNESS,,"{0,2,3,4}",,-0.9491822124;2.302291632;-0.2401535809;-0.4145390391;-3.333768368;-0.09756933153,11.80600262,11.74360441,12.21181825,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.3337673247;1.813059926;-0.8589162827;-2.069537878;-2.010804892;0.3556009531,6.519215584,6.227627635,7.260004457,1
SUBSET_WITNESS,,"{0,2,4,5}",,-0.5566195846;2.207851171;-1.368661165;-0.8089005351;-1.746202826;0.75541085,7.444546223,7.16336678,9.281755024,1
SUBSET_WITNESS,,"{0,3,4,5}",,0.7235276103;1.228933573;-0.2926510572;-0.258043915;-1.472339153;0.406950742,4.686999798,3.934045351,8.369106516,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.2332343757;0.545753181;0.6217939258;0.9332407713;1.41084981;-0.9407644868,4.069403648,4.007478729,4.554052615,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.2120958865;-1.094959021;-0.9872099757;0.0323889181;0.6779645681;-1.570658207,5.400533676,5.248999203,6.611924054,1
SUBSET_WITNESS,,"{1,2,4,5}",,-0.6540107727;0.3016680777;-0.2570528388;0.0864424929;0.8129730225;-0.5209811926,4.714416027,4.358492537,6.402203934,1
SUBSET_WITNESS,,"{1,3,4,5}",,0.1315495968;0.981312871;-0.2285762876;-0.01475915965;0.4690673649;-0.5697171092,4.254591942,3.175232185,6.290215447,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.0006190716522;0.9917804003;-0.8285873532;0.2042500973;1.134180307;-1.063147664,4.39515543,3.720356561,5.12088894,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,-0.6678269506;0.6621382833;-0.2558507323;0.6618977785;-1.782607436;0.2868472934,7.009158134,6.949282573,7.224722259,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,0.1657150388;4.280220985;-0.6285049915;0.7846308351;-1.584921956;0.341306448,16.66107559,16.05387782,16.93756544,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,-0.9900507927;0.834436655;-0.3921855092;-0.3866233826;-0.9319866896;0.7706352472,7.558072567,7.249344358,8.488211065,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,0.2087567896;1.300963044;-0.1839906722;-0.06304623932;-1.246982336;0.24309434,5.361950874,5.200096926,9.267189331,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,-0.2600719929;1.577027202;-0.8419470787;-0.8126491308;-1.649788022;0.2161162049,6.502669811,6.111666046,9.070642542,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.340849787;0.3831120133;0.290453583;0.2979310155;0.6322033405;-0.9915668964,4.930754185,4.387226138,14.23309229,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.1256648749;1.492761493;-0.5680929422;-0.6808791757;-1.277102232;0.2583176792,6.836449146,,,1
