row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{1,2}",,0.05171919614;-0.008851173334;1.252429128;-1.898311257;-0.06286360323,3.004566669,2.772280815,3.248375004,1
SUBSET_WITNESS,,"{1,3}",,-0.6646236181;1.32169342;-0.7417539358;-1.529015422;-0.7758511901,2.067830563,0.970644053,5.963981874,1
SUBSET_WITNESS,,"{1,4}",,-1.624752879;1.645529747;-0.9186034799;-1.854330897;0.5404721498,4.735342026,4.621609727,5.184089814,1
SUBSET_WITNESS,,"{1,5}",,-0.2933586538;0.2100129128;-1.397427678;-1.517333031;-0.01308431942,3.081743479,2.682519337,4.286920734,1
SUBSET_WITNESS,,"{2,3}",,0.1043371111;2.253046989;1.527581215;-0.8988539577;0.2594961822,2.529578686,1.993563026,4.12377171,1
SUBSET_WITNESS,,"{2,4}",,-1.060854554;2.013259411;-1.4935534;-1.205139995;1.398519874,4.002873421,3.14229853,7.385057427,1
SUBSET_WITNESS,,"{2,5}",,-0.1666361541;-0.01939510368;1.048485756;-0.7418549061;1.297828555,2.179283381,2.142221787,4.527437881,1
SUBSET_WITNESS,,"{3,4}",,-1.290672302;2.060897589;-0.7087786198;-0.9261151552;0.4732915163,4.213125706,3.722512258,4.746179054,1
SUBSET_WITNESS,,"{3,5}",,-0.1430177987;0.5875151753;-0.1330979466;0.2433449477;-0.2877442837,3.181981087,3.105232891,3.424444741,1
SUBSET_WITNESS,,"{4,5}",,-1.538752556;0.4400692284;-1.239276648;-0.5888261199;2.383616924,4.612657547,4.163702756,5.271583782,1
SUBSET_WITNESS,,"{0,1,2}",,-0.762388289;0.7182139158;1.176294208;-1.528687358;0.3749812543,3.593250275,3.481920286,3.911198139,1
SUBSET_WITNESS,,"{0,1,3}",,-0.8125242591;0.5749630332;0.8644111156;-0.9748973846;-0.3792655468,3.209406614,2.395776421,4.568527434,1
SUBSET_WITNESS,,"{0,1,4}",,-1.736983657;1.184104681;-0.8890108466;-1.868014812;0.3993698657,4.547607899,4.271230725,5.146427452,1
SUBSET_WITNESS,,"{0,1,5}",,-0.7266947031;0.2286682427;-0.7073795795;-1.223092675;-0.007878150791,3.371284246,2.709549293,4.141811788,1
SUBSET_WITNESS,,"{0,2,3}",,-0.4524224997;1.06005156;1.212162971;-0.3492100537;0.01837254502,3.572397709,3.229519933,3.681420716,1
SUBSET_WITNESS,,"{0,2,4}",,-1.472471833;1.160602927;-0.8672911525;-1.384102106;1.216679573,4.506850719,4.208607309,4.744735231,1
SUBSET_WITNESS,,"{0,2,5}",,-0.6746298075;-0.004817214329;1.023605943;-0.5416565537;0.9846145511,2.888147593,2.388359167,4.010885418,1
SUBSET_WITNESS,,"{0,3,4}",,-1.318506241;1.685215116;-0.4720675349;-0.6829448938;0.411270231,4.235313892,4.029623042,5.053482577,1
SUBSET_WITNESS,,"{0,3,5}",,-0.4759715199;0.5451863408;0.05707903951;-0.05114354566;0.0949909687,3.117191553,2.980372492,5.401280983,1
SUBSET_WITNESS,,"{0,4,5}",,-1.579022765;0.8011401296;-0.8248124123;-0.8489836454;1.515949965,3.713413715,3.030952138,4.317946356,1
SUBSET_WITNESS,,"{1,2,3}",,0.1970480531;1.594139576;1.859025955;-1.220754743;0.0207299646,3.042018175,2.648930758,8.631895304,1
SUBSET_WITNESS,,"{1,2,4}",,-1.030286551;1.43521595;-0.9647005796;-2.075661421;0.9144675732,4.635772228,4.478039168,5.596332446,1
SUBSET_WITNESS,,"{1,2,5}",,-0.2761411667;-0.08903956413;0.5363370776;-1.677740097;0.3257175386,3.361621857,3.092201873,4.722444959,1
SUBSET_WITNESS,,"{1,3,4}",,-1.250458837;1.991557598;-0.8659699559;-1.731809497;0.2256325483,4.450531006,4.07948972,5.530481689,1
SUBSET_WITNESS,,"{1,3,5}",,-0.07593781501;0.5032423735;-0.5945639014;-1.070289731;-0.1547367126,3.183456659,2.64564429,3.635139956,1
SUBSET_WITNESS,,"{1,4,5}",,-1.545189142;0.6093561053;-1.300073504;-2.245458603;0.5772792101,5.245415211,5.10020113,5.386355557,1
SUBSET_WITNESS,,"{2,3,4}",,-0.9478692412;1.984447479;1.476995707;-1.174228072;0.7374780774,4.424526691,3.875457894,5.0963232,1
SUBSET_WITNESS,,"{2,3,5}",,-0.2871889472;-0.7842507362;1.063599348;-0.5875486135;0.2926768959,3.176808119,2.443126813,3.761859331,1
SUBSET_WITNESS,,"{2,4,5}",,-1.157650113;1.154987216;-1.09103632;-0.9462918639;1.738361001,4.064790726,3.653484844,4.60264194,1
SUBSET_WITNESS,,"{3,4,5}",,-1.038941145;-2.081065416;2.521522284;2.520590544;1.318036675,12.52940845,12.43682619,12.64699259,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.7249403;0.5206170678;1.325418353;-1.285735607;0.002660066122,3.676917553,3.304366584,4.753856595,1
SUBSET_WITNESS,,"{0,1,2,4}",,-1.408112168;1.308125019;-0.6681998968;-1.891703725;0.8631511927,5.250291824,5.149711952,5.44422097,1
SUBSET_WITNESS,,"{0,1,2,5}",,-0.7036306262;0.2774545252;0.4345243573;-1.280506015;0.1703169048,3.643323421,3.515923679,4.384334028,1
SUBSET_WITNESS,,"{0,1,3,4}",,-1.642294884;1.369674087;-0.7645813227;-1.322701693;0.2065237463,4.458494663,3.861028542,5.217655841,1
SUBSET_WITNESS,,"{0,1,3,5}",,-0.7144722342;0.4985804558;-0.1487916857;-0.9153621197;-0.190017134,3.368478775,2.638781011,5.229897174,1
SUBSET_WITNESS,,"{0,1,4,5}",,-1.686528325;0.6582908034;-0.7699462771;-1.716731668;0.4060113728,4.679170609,4.384995298,5.688153282,1
SUBSET_WITNESS,,"{0,2,3,4}",,-1.119409323;1.795309305;1.276421428;-0.756531179;0.7200590968,4.59402895,3.829571682,5.531262883,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.7256847024;-0.1576189548;1.197542906;-0.860191226;0.5809326768,3.365265369,2.845140738,3.873666403,1
SUBSET_WITNESS,,"{0,2,4,5}",,-1.350897193;1.128943324;-1.402866364;-0.9405232072;1.257103205,4.332771778,3.860561209,6.724929478,1
SUBSET_WITNESS,,"{0,3,4,5}",,-1.355298758;1.415923953;-0.501554966;-0.4399838448;0.4636546373,4.59721756,4.305922002,5.509784929,1
SUBSET_WITNESS,,"{1,2,3,4}",,-1.16881156;1.545492768;-0.8480603099;-1.730359674;0.6143580675,4.590143204,4.266536333,5.354440277,1
SUBSET_WITNESS,,"{1,2,3,5}",,0.02682918124;-0.7513918281;0.7564269304;-0.9316772223;0.145619005,3.623773813,2.797302604,5.471698385,1
SUBSET_WITNESS,,"{1,2,4,5}",,-0.8836417198;0.9752216339;-1.142360568;-1.891145468;0.8869087696,4.751224518,4.427463241,5.347551852,1
SUBSET_WITNESS,,"{1,3,4,5}",,-1.261774063;1.068981886;-1.045140982;-2.356073856;0.1782116443,6.20822525,6.017372873,6.332156042,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.6978263855;1.532165408;-0.957628727;-0.8762333393;1.098353386,4.718765736,4.338546094,5.170048594,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,-1.236882448;1.83399415;1.396760941;-1.162669539;0.4789373577,4.790047646,4.496014073,8.455964878,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.7853274941;-0.3817633986;0.5765889287;-0.8799237013;0.22690624,3.638560534,3.338251887,11.5715645,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,-1.238268018;1.072839975;-0.9239176512;-1.768496752;0.7446084023,4.635791302,4.147647291,4.902078146,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-1.364763856;1.323245287;-0.9110990763;-1.13939774;0.4265424907,4.529490948,4.143095709,4.78754898,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,-1.111065984;1.172209263;-0.5328392386;-0.8217864633;0.9859157801,4.485572815,4.223882202,5.950858869,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.6880055666;1.309090495;-1.030217409;-1.441379547;0.7573577166,4.819001198,4.718117563,5.101429999,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-1.169645071;1.299876213;-0.7891485691;-1.488756061;0.6864401102,4.622055054,,,1
